timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695280995325,55,Get Single User,200,OK,Thread Group 1-29,text,true,,1000,122,7,7,https://reqres.in/api/users/2,55,0,0
1695280995361,45,Get List Users,200,OK,Thread Group 1-30,text,true,,1722,127,6,6,https://reqres.in/api/users?page=1,44,0,0
1695280995406,50,Get Single User,200,OK,Thread Group 1-30,text,true,,992,122,7,7,https://reqres.in/api/users/2,50,0,0
1695280994957,512,POST Create,201,Created,Thread Group 1-31,text,true,,709,232,6,6,https://reqres.in/api/users,512,0,112
1695280995469,50,Get List Users,200,OK,Thread Group 1-31,text,true,,1716,127,6,6,https://reqres.in/api/users?page=1,50,0,0
1695280995519,67,Get Single User,200,OK,Thread Group 1-31,text,true,,1000,122,7,7,https://reqres.in/api/users/2,67,0,0
1695280995057,529,POST Create,201,Created,Thread Group 1-32,text,true,,713,232,7,7,https://reqres.in/api/users,529,0,100
1695280995587,56,Get List Users,200,OK,Thread Group 1-32,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,56,0,0
1695280995155,507,POST Create,201,Created,Thread Group 1-33,text,true,,709,232,7,7,https://reqres.in/api/users,507,0,87
1695280995644,46,Get Single User,200,OK,Thread Group 1-32,text,true,,996,122,7,7,https://reqres.in/api/users/2,46,0,0
1695280995663,102,Get List Users,200,OK,Thread Group 1-33,text,true,,1722,127,7,7,https://reqres.in/api/users?page=1,101,0,0
1695280995256,510,POST Create,201,Created,Thread Group 1-34,text,true,,709,232,7,7,https://reqres.in/api/users,510,0,94
1695280995765,56,Get Single User,200,OK,Thread Group 1-33,text,true,,1000,122,7,7,https://reqres.in/api/users/2,56,0,0
1695280995766,62,Get List Users,200,OK,Thread Group 1-34,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,62,0,0
1695280995357,482,POST Create,201,Created,Thread Group 1-35,text,true,,711,232,6,6,https://reqres.in/api/users,482,0,81
1695280995828,51,Get Single User,200,OK,Thread Group 1-34,text,true,,992,122,7,7,https://reqres.in/api/users/2,51,0,0
1695280995839,71,Get List Users,200,OK,Thread Group 1-35,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,71,0,0
1695280995457,476,POST Create,201,Created,Thread Group 1-36,text,true,,713,232,6,6,https://reqres.in/api/users,476,0,85
1695280995910,55,Get Single User,200,OK,Thread Group 1-35,text,true,,1006,122,7,7,https://reqres.in/api/users/2,55,0,0
1695280995933,52,Get List Users,200,OK,Thread Group 1-36,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,52,0,0
1695280995985,58,Get Single User,200,OK,Thread Group 1-36,text,true,,998,122,6,6,https://reqres.in/api/users/2,58,0,0
1695280995557,530,POST Create,201,Created,Thread Group 1-37,text,true,,707,232,6,6,https://reqres.in/api/users,530,0,99
1695280996090,49,Get List Users,200,OK,Thread Group 1-37,text,true,,1708,127,6,6,https://reqres.in/api/users?page=1,48,0,0
1695280995657,520,POST Create,201,Created,Thread Group 1-38,text,true,,715,232,7,7,https://reqres.in/api/users,520,0,130
1695280996139,49,Get Single User,200,OK,Thread Group 1-37,text,true,,998,122,7,7,https://reqres.in/api/users/2,49,0,0
1695280996178,47,Get List Users,200,OK,Thread Group 1-38,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,47,0,0
1695280995756,508,POST Create,201,Created,Thread Group 1-39,text,true,,711,232,7,7,https://reqres.in/api/users,508,0,97
1695280996225,44,Get Single User,200,OK,Thread Group 1-38,text,true,,1002,122,7,7,https://reqres.in/api/users/2,44,0,0
1695280996264,54,Get List Users,200,OK,Thread Group 1-39,text,true,,1706,127,6,6,https://reqres.in/api/users?page=1,54,0,0
1695280996319,49,Get Single User,200,OK,Thread Group 1-39,text,true,,1000,122,7,7,https://reqres.in/api/users/2,49,0,0
1695280995856,522,POST Create,201,Created,Thread Group 1-40,text,true,,714,232,6,6,https://reqres.in/api/users,522,0,107
1695280996379,55,Get List Users,200,OK,Thread Group 1-40,text,true,,1712,127,6,6,https://reqres.in/api/users?page=1,55,0,0
1695280995958,480,POST Create,201,Created,Thread Group 1-41,text,true,,717,232,6,6,https://reqres.in/api/users,480,0,90
1695280996434,54,Get Single User,200,OK,Thread Group 1-40,text,true,,998,122,7,7,https://reqres.in/api/users/2,54,0,0
1695280996438,53,Get List Users,200,OK,Thread Group 1-41,text,true,,1710,127,6,6,https://reqres.in/api/users?page=1,52,0,0
1695280996059,492,POST Create,201,Created,Thread Group 1-42,text,true,,709,232,6,6,https://reqres.in/api/users,491,0,94
1695280996492,62,Get Single User,200,OK,Thread Group 1-41,text,true,,994,122,6,6,https://reqres.in/api/users/2,62,0,0
1695280996551,56,Get List Users,200,OK,Thread Group 1-42,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,56,0,0
1695280996157,479,POST Create,201,Created,Thread Group 1-43,text,true,,711,232,6,6,https://reqres.in/api/users,479,0,86
1695280996607,87,Get Single User,200,OK,Thread Group 1-42,text,true,,996,122,7,7,https://reqres.in/api/users/2,87,0,0
1695280996637,85,Get List Users,200,OK,Thread Group 1-43,text,true,,1716,127,6,6,https://reqres.in/api/users?page=1,78,0,0
1695280996256,482,POST Create,201,Created,Thread Group 1-44,text,true,,717,232,6,6,https://reqres.in/api/users,482,0,77
1695280996723,54,Get Single User,200,OK,Thread Group 1-43,text,true,,996,122,7,7,https://reqres.in/api/users/2,54,0,0
1695280996739,68,Get List Users,200,OK,Thread Group 1-44,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,67,0,0
1695280996358,474,POST Create,201,Created,Thread Group 1-45,text,true,,707,232,6,6,https://reqres.in/api/users,474,0,80
1695280996807,47,Get Single User,200,OK,Thread Group 1-44,text,true,,1000,122,6,6,https://reqres.in/api/users/2,47,0,0
1695280996832,51,Get List Users,200,OK,Thread Group 1-45,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,51,0,0
1695280996884,53,Get Single User,200,OK,Thread Group 1-45,text,true,,1002,122,6,6,https://reqres.in/api/users/2,53,0,0
